symbol,timestamp,open,high,low,close,volume,trade_count,vwap
META,2026-06-15 08:00:00+00:00,579.5,580.0,576.55,579.9,28264.0,1688.0,578.87246
META,2026-06-15 08:05:00+00:00,577.75,581.0,576.69,578.01,31734.0,2550.0,579.188925
META,2026-06-15 08:10:00+00:00,578.31,580.5,576.64,579.3208,6634.0,437.0,579.731145
META,2026-06-15 08:15:00+00:00,580.16,580.66,579.28,579.28,2724.0,149.0,579.755433
META,2026-06-15 08:20:00+00:00,579.99,579.99,579.27,579.87,1256.0,72.0,579.441066
META,2026-06-15 08:25:00+00:00,579.88,580.5,579.88,580.4973,4477.0,216.0,580.327222
META,2026-06-15 08:30:00+00:00,580.49,580.5,580.0,580.27,1988.0,124.0,580.167872
META,2026-06-15 08:35:00+00:00,580.25,580.25,580.01,580.12,599.0,39.0,580.08055
META,2026-06-15 08:40:00+00:00,580.49,580.6,580.01,580.43,1289.0,71.0,580.395408
META,2026-06-15 08:45:00+00:00,580.48,580.61,580.48,580.6,1097.0,84.0,580.58025
META,2026-06-15 08:50:00+00:00,580.6,580.6,580.25,580.25,2298.0,100.0,580.496647
META,2026-06-15 08:55:00+00:00,580.82,580.82,579.56,580.0,1785.0,146.0,580.061247
META,2026-06-15 09:00:00+00:00,579.24,579.96,579.24,579.96,1861.0,74.0,579.591748
META,2026-06-15 09:05:00+00:00,579.5592,579.96,579.31,579.31,1905.0,59.0,579.735126
META,2026-06-15 09:10:00+00:00,579.0,579.4559,579.0,579.3,2190.0,122.0,579.276375
META,2026-06-15 09:15:00+00:00,579.5,579.5,579.0,579.48,425.0,37.0,579.230047
META,2026-06-15 09:20:00+00:00,579.39,579.39,579.39,579.39,124.0,14.0,579.39
META,2026-06-15 09:25:00+00:00,579.0,579.0,578.51,578.99,1131.0,110.0,578.875952
META,2026-06-15 09:30:00+00:00,578.5,578.77,578.0,578.5,3288.0,167.0,578.277542
META,2026-06-15 09:35:00+00:00,578.0546,578.07,577.77,577.77,2659.0,122.0,577.920661
META,2026-06-15 09:40:00+00:00,578.0,578.0,577.9675,577.9675,457.0,25.0,577.994139
META,2026-06-15 09:45:00+00:00,577.75,578.0,577.42,578.0,4298.0,140.0,577.738304
META,2026-06-15 09:50:00+00:00,577.42,578.0,577.42,577.95,1108.0,68.0,577.924318
META,2026-06-15 09:55:00+00:00,577.87,577.87,577.5,577.53,1679.0,123.0,577.626207
META,2026-06-15 10:00:00+00:00,577.73,578.29,577.73,578.2,1251.0,48.0,578.022396
META,2026-06-15 10:05:00+00:00,578.21,578.35,578.0182,578.35,521.0,37.0,578.222736
META,2026-06-15 10:10:00+00:00,578.35,578.86,578.07,578.79,1121.0,59.0,578.55072
META,2026-06-15 10:15:00+00:00,578.88,578.88,578.0,578.1048,1369.0,86.0,578.392058
META,2026-06-15 10:20:00+00:00,578.0,578.6,578.0,578.24,535.0,30.0,578.241417
META,2026-06-15 10:25:00+00:00,578.5502,578.59,578.5502,578.59,616.0,32.0,578.574981
META,2026-06-15 10:30:00+00:00,578.31,578.31,577.42,577.5,1865.0,105.0,577.802381
META,2026-06-15 10:35:00+00:00,577.8,577.8,576.5,576.71,5213.0,257.0,577.202973
META,2026-06-15 10:40:00+00:00,576.9336,576.9336,574.67,575.6,7896.0,438.0,575.393228
META,2026-06-15 10:45:00+00:00,575.86,576.6,575.86,576.2,2644.0,93.0,576.231931
META,2026-06-15 10:50:00+00:00,576.16,576.63,576.13,576.13,696.0,44.0,576.296866
