Threshold,Trades,Wins,Losses,WinRate,NetR,ProfitFactor,ExpectancyR,MaxDrawdownR,Targets,Stops,TimeExits
0.6,484,369,115,0.762396694214876,390.7498237051692,4.147774121089638,0.8073343464982835,-13.006483128415539,351,111,22
0.65,474,365,109,0.770042194092827,391.41712305696785,4.3238090177485375,0.8257745212172317,-12.604575033202707,347,105,22
0.7,459,355,104,0.7734204793028322,383.724683349052,4.3962776854830095,0.836001488777891,-9.642716206396358,339,101,19
0.75,417,335,82,0.8033573141486811,381.4651879353839,5.311986937497931,0.9147846233462443,-7.640426849987222,322,79,16
0.8,336,265,71,0.7886904761904762,297.8319599513824,4.80979336809068,0.8864046427124476,-6.298967983672981,262,70,4
