timestamp,open,high,low,close,volume,EMA9,EMA21,EMA50,EMA200,EMA9_EMA21,EMA21_EMA50,DistEMA200,RSI,MACD,MACDSignal,MACDHist,ROC,ATR,ATRPercent,BBUpper,BBLower,BBWidth,VolumeSMA20,RelativeVolume,VWAP,VWAPDistance,Body,UpperWick,LowerWick,BodyPercent,Hour,Minute,Return,Target
2026-06-08 08:00:00+00:00,739.17,740.52,736.32,739.79,167455.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.6200000000000045,0.7300000000000182,2.849999999999909,0.0008380756701226,8,0,,1.0
2026-06-08 08:05:00+00:00,739.8,740.42,736.57,739.89,27557.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0900000000000318,0.5299999999999727,3.2299999999999045,0.0001216397031991,8,5,0.0001351734951811,0.0
2026-06-08 08:10:00+00:00,739.81,739.81,739.4,739.52,6880.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.2899999999999636,0.0,0.1200000000000045,0.0003921462570315,8,10,-0.0005000743353741,1.0
2026-06-08 08:15:00+00:00,739.64,739.79,739.31,739.78,3293.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.1399999999999863,0.0099999999999909,0.3300000000000409,0.0001892454513503,8,15,0.0003515794028559,0.0
2026-06-08 08:20:00+00:00,739.69,739.69,739.0,739.31,10577.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.3800000000001091,0.0,0.3099999999999454,0.000513992777049,8,20,-0.0006353240152477,1.0
2026-06-08 08:25:00+00:00,739.32,739.5,739.2,739.29,808.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0300000000000864,0.1799999999999499,0.0899999999999181,4.057947490171165e-05,8,25,-2.7052251423631543e-05,1.0
2026-06-08 08:30:00+00:00,739.43,739.77,739.39,739.72,5508.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.2900000000000773,0.0499999999999545,0.0399999999999636,0.000392040231439,8,30,0.0005816391402562,1.0
2026-06-08 08:35:00+00:00,739.72,739.72,739.25,739.28,4135.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.4400000000000545,0.0,0.0299999999999727,0.0005951736825019,8,35,-0.0005948196614936,0.0
2026-06-08 08:40:00+00:00,739.12,739.17,738.76,739.1005,10786.0,739.4604015680002,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0194999999999936,0.0499999999999545,0.34050000000002,2.638342146973738e-05,8,40,-0.0002428038091115,1.0
2026-06-08 08:45:00+00:00,739.11,739.25,738.6,739.25,3961.0,739.4183212544002,,,,,,,,,,,,0.0,0.0,,,,,,,,0.1399999999999863,0.0,0.5099999999999909,0.0001893811295231,8,45,0.0002022728979347,1.0
2026-06-08 08:50:00+00:00,739.25,739.35,738.72,738.95,6116.0,739.3246570035203,,,,,,,,,,,-0.1135457359520834,0.0,0.0,,,,,,,,0.2999999999999545,0.1000000000000227,0.2300000000000182,0.0004059814601799,8,50,-0.000405816706121,1.0
2026-06-08 08:55:00+00:00,738.74,739.16,738.74,739.16,7616.0,739.2917256028163,,,,,,,,,,,-0.0986633148170698,0.0,0.0,,,,,,,,0.4199999999999591,0.0,0.0,0.0005682125656149,8,55,0.0002841870221259,1.0
2026-06-08 09:00:00+00:00,739.04,739.39,739.02,739.34,4107.0,739.3013804822531,,,,,,,,,,,-0.0243401125054021,0.0,0.0,,,,,,,,0.3000000000000682,0.0499999999999545,0.0199999999999818,0.0004057673059756,9,0,0.000243519670978,0.0
