timestamp,open,high,low,close,volume,EMA9,EMA21,EMA50,EMA200,EMA9_EMA21,EMA21_EMA50,DistEMA200,RSI,MACD,MACDSignal,MACDHist,ROC,ATR,ATRPercent,BBUpper,BBLower,BBWidth,VolumeSMA20,RelativeVolume,VWAP,VWAPDistance,Body,UpperWick,LowerWick,BodyPercent,Hour,Minute,Return,Target
2026-06-08 08:00:00+00:00,595.6,596.25,591.0,596.0,53302.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.3999999999999772,0.25,4.600000000000023,0.0006711409395972,8,0,,0.0
2026-06-08 08:05:00+00:00,595.5,595.94,592.3,595.18,5111.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.32000000000005,0.4400000000000545,2.8799999999999955,0.0005376524748816,8,5,-0.0013758389261745,1.0
2026-06-08 08:10:00+00:00,595.38,595.38,591.0,592.07,2569.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,3.309999999999945,0.0,1.07000000000005,0.0055905551708411,8,10,-0.0052253099902548,1.0
2026-06-08 08:15:00+00:00,594.79,594.79,594.46,594.46,983.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.3299999999999272,0.0,0.0,0.0005551256602629,8,15,0.0040366848514532,1.0
2026-06-08 08:20:00+00:00,595.0,595.35,594.17,595.35,2548.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.3500000000000227,0.0,0.8300000000000409,0.0005878894767784,8,20,0.0014971570837398,0.0
2026-06-08 08:25:00+00:00,594.2706,594.45,594.0,594.2,2528.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0705999999998994,0.1794000000001006,0.2000000000000454,0.0001188152137325,8,25,-0.0019316368522717,1.0
2026-06-08 08:30:00+00:00,594.47,594.47,594.0,594.0598,4074.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.4102000000000316,0.0,0.0597999999999956,0.0006905028752998,8,30,-0.0002359474924268,1.0
2026-06-08 08:35:00+00:00,594.27,594.48,593.45,593.5068,3111.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.7631999999999834,0.2100000000000363,0.0567999999999528,0.0012859161849535,8,35,-0.0009308827158478,0.0
2026-06-08 08:40:00+00:00,593.45,593.48,593.01,593.0956,2137.0,594.1929304832001,,,,,,,,,,,,0.0,0.0,,,,,,,,0.3544000000000551,0.0299999999999727,0.0855999999999994,0.0005975427907407,8,40,-0.0006928311520609,1.0
2026-06-08 08:45:00+00:00,593.42,593.92,593.2124,593.8,1680.0,594.1143443865601,,,,,,,,,,,,0.0,0.0,,,,,,,,0.3799999999999954,0.1200000000000045,0.2075999999999567,0.0006399461098012,8,45,0.0011876668786616,1.0
2026-06-08 08:50:00+00:00,594.18,594.18,593.0695,593.21,2709.0,593.9334755092482,,,,,,,,,,,-0.4681208053691214,0.0,0.0,,,,,,,,0.9699999999999136,0.0,0.1405000000000882,0.0016351713558434,8,50,-0.0009936005389018,1.0
2026-06-08 08:55:00+00:00,593.05,593.5,593.05,593.5,1135.0,593.8467804073986,,,,,,,,,,,-0.2822675493128045,0.0,0.0,,,,,,,,0.4500000000000455,0.0,0.0,0.0007582139848357,8,55,0.0004888656630872,1.0
2026-06-08 09:00:00+00:00,593.41,594.18,593.41,594.18,610.0,593.9134243259189,,,,,,,,,,,0.3563767797726451,0.0,0.0,,,,,,,,0.7699999999999818,0.0,0.0,0.0012959035982361,9,0,0.0011457455770849,0.0
2026-06-08 09:05:00+00:00,594.15,594.15,593.09,593.41,708.0,593.8127394607351,,,,,,,41.03019724403392,,,,-0.1766308919019056,1.7729785714285689,0.0029877800701514,,,,,,594.2458692173948,-0.001406605010979,0.7400000000000091,0.0,0.3199999999999363,0.0012470298781618,9,5,-0.0012959035982361,0.0
2026-06-08 09:10:00+00:00,593.41,593.41,593.41,593.41,405.0,593.7321915685881,,,,,,,41.03019724403392,,,,-0.3258587385571604,1.6463372448979567,0.0027743672079977,,,,,,593.9343220128899,-0.000882794601115,0.0,0.0,0.0,0.0,9,10,0.0,0.0
2026-06-08 09:15:00+00:00,593.85,594.0,593.85,594.0,471.0,593.7857532548705,,,,,,,46.0749745077832,,,,-0.0336587007741577,1.570884584548105,0.0026445868426735,,,,,,593.8272820204146,0.0002908555817741,0.1499999999999772,0.0,0.0,0.0002525252525252,9,15,0.0009942535515075,0.0
2026-06-08 09:20:00+00:00,594.08,594.26,594.06,594.06,563.0,593.8406026038964,,,,,,,46.5755119981937,,,,3.366664432600824e-05,1.477249971366097,0.0024867016317646,,,,,,593.9441286267714,0.0001950880017896,0.0200000000000954,0.1799999999999499,0.0,3.366663300019442e-05,9,20,0.0001010101010099,0.0
2026-06-08 09:25:00+00:00,594.02,594.5,593.85,594.5,940.0,593.9724820831171,,,,,,,50.224308667932114,,,,0.1673443337127732,1.4181606876970885,0.0023854679355712,,,,,,593.931580291291,0.0009570457735725,0.4800000000000182,0.0,0.169999999999959,0.00080740117746,9,25,0.0007406659260007,0.0
2026-06-08 09:30:00+00:00,593.7594,593.7594,593.31,593.4,1565.0,593.8579856664937,,,,,,,42.4234870168872,,,,0.0513239349609046,1.4018634957187288,0.0023624258438131,,,,,,593.7856487556694,-0.0006494746992918,0.3594000000000505,0.0,0.0900000000000318,0.0006056622851365,9,30,-0.0018502943650126,0.0
2026-06-08 09:35:00+00:00,593.4,595.0,593.4,594.15,3365.0,593.916388533195,,,,,,,48.31764701750196,,,,0.0589424048501217,1.4160161031673926,0.0023832636592904,595.6814856979023,592.2727343020978,0.0057371899281402,4525.7,0.7435313874096825,593.7962394481603,0.0005957608491565,0.75,0.8500000000000227,0.0,0.0012623074981065,9,35,0.0012639029322547,0.0
2026-06-08 09:40:00+00:00,594.09,594.09,593.75,593.75,501.0,593.883110826556,594.1638135277462,,,-0.2807027011901937,,,45.634448650794745,,,,0.0910301579541753,1.34344352436972,0.0022626417252542,595.2950541686413,592.4341658313587,0.0048183382522654,1885.65,0.2656908758253122,593.7200598073701,5.042813045522741e-05,0.3400000000000318,0.0,0.0,0.0005726315789474,9,40,-0.0006732306656568,0.0
2026-06-08 09:45:00+00:00,595.0,595.46,594.72,595.25,2009.0,594.1564886612448,594.2625577524966,,,-0.1060690912518111,,,55.59334131788311,,,,0.2948609941027801,1.3696261297718857,0.0023009258794991,595.3116931945544,592.4245268054456,0.0048503425268523,1730.55,1.16090260321863,593.8569095240628,0.002345835256937,0.25,0.2100000000000363,0.2799999999999727,0.0004199916001679,9,45,0.0025263157894737,0.0
2026-06-08 09:50:00+00:00,595.34,595.5,594.4,594.56,5064.0,594.2371909289959,594.289597956815,,,-0.052407027819072,,,50.96816036458882,,,,0.0639536840687999,1.3503671205024668,0.0022712041181755,595.2054718551179,592.7797481448821,0.004079863613825,1855.3,2.7294777124993264,594.1464912696587,0.0006959710044868,0.7800000000000864,0.1599999999999681,0.1599999999999681,0.0013118945102261,9,50,-0.0011591768164637,0.0
2026-06-08 09:55:00+00:00,594.54,594.54,594.54,594.54,532.0,594.2977527431967,594.3123617789227,,,-0.0146090357259254,,,50.83613903613521,,,,0.1904248327463297,1.2553408976094322,0.002111449015389,595.216120704996,592.7770992950038,0.0041023672250683,1832.75,0.2902741781475924,594.1976798772091,0.0005761047785672,0.0,0.0,0.0,0.0,9,55,-3.363832077496465e-05,0.0
2026-06-08 10:00:00+00:00,594.52,594.52,593.66,594.23,1155.0,594.2842021945573,594.3048743444751,,,-0.0206721499178001,,,48.72920542482355,,,,0.1381843919044252,1.2285308334944725,0.0020674332051469,594.9985436650281,592.8826763349718,0.0035606874948358,1763.1,0.6550961374851115,594.2952520808144,-0.0001097974122894,0.2899999999999636,0.0,0.57000000000005,0.0004880265217171,10,0,-0.0005214115114204,0.0
2026-06-08 10:05:00+00:00,594.23,594.29,593.9439,594.0,1451.0,594.2273617556459,594.2771584949774,,,-0.0497967393314411,,,47.167246384546594,-0.1518953863201204,,,0.0,1.165500059673437,0.0019621213125815,594.9823097858705,592.8789102141295,0.0035410767201026,1709.25,0.8489103407927454,594.3344257700328,-0.0005626895490691,0.2300000000000182,0.0599999999999454,0.0561000000000149,0.0003872053872054,10,5,-0.0003870555172239,0.0
2026-06-08 10:10:00+00:00,594.21,594.46,594.21,594.46,276.0,594.2738894045168,594.2937804499794,,,-0.0198910454626002,,,50.5792120749034,-0.1205287520749607,,,0.0673332660000826,1.1151071982681942,0.0018758321809174,595.0263446777869,592.874895322213,0.0036191658910169,1519.35,0.1816566294797117,594.3482339717618,0.0001880480530602,0.25,0.0,0.0,0.0004205497426235,10,10,0.0007744107744107,0.0
