symbol,timestamp,open,high,low,close,volume,trade_count,vwap,EMA9,EMA21,EMA50,EMA200,EMA9_EMA21,EMA21_EMA50,DistEMA200,RSI,MACD,MACDSignal,MACDHist,ROC,ATR,ATRPercent,BBUpper,BBLower,BBWidth,VolumeSMA20,RelativeVolume,VWAP,VWAPDistance,Body,UpperWick,LowerWick,BodyPercent,Hour,Minute,Return
QQQ,2026-06-15 08:00:00+00:00,733.6,736.89,733.6,736.67,80088.0,2266.0,736.005398,,,,,,,,,,,,,0.0,0.0,,,,,,,,3.0699999999999363,0.22000000000002728,0.0,0.00416740195745712,8,0,
QQQ,2026-06-15 08:05:00+00:00,734.3,736.74,734.15,735.8,200749.0,11654.0,735.853986,,,,,,,,,,,,,0.0,0.0,,,,,,,,1.5,0.9400000000000546,0.14999999999997726,0.0020385974449578692,8,5,-0.0011809901312663795
QQQ,2026-06-15 08:10:00+00:00,736.86,736.94,736.47,736.78,13312.0,376.0,736.72672,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.08000000000004093,0.08000000000004093,0.30999999999994543,0.0001085805803632576,8,10,0.0013318836640392462
QQQ,2026-06-15 08:15:00+00:00,736.81,736.99,736.41,736.41,19880.0,382.0,736.710724,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.39999999999997726,0.18000000000006366,0.0,0.0005431756765931713,8,15,-0.0005021851841797709
QQQ,2026-06-15 08:20:00+00:00,736.48,736.82,736.38,736.62,16735.0,331.0,736.571069,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.13999999999998636,0.20000000000004547,0.10000000000002274,0.000190057288697003,8,20,0.0002851672302115471
QQQ,2026-06-15 08:25:00+00:00,736.66,737.43,736.6,737.27,36905.0,627.0,737.021444,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.6100000000000136,0.15999999999996817,0.05999999999994543,0.0008273766734032494,8,25,0.0008824088403789343
QQQ,2026-06-15 08:30:00+00:00,737.24,737.47,737.19,737.44,7846.0,269.0,737.279124,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.20000000000004547,0.029999999999972715,0.049999999999954525,0.00027120850509878154,8,30,0.0002305803843911658
QQQ,2026-06-15 08:35:00+00:00,737.46,737.55,737.29,737.53,8957.0,248.0,737.375314,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.06999999999993634,0.01999999999998181,0.17000000000007276,9.491139343475701e-05,8,35,0.00012204382729441576
QQQ,2026-06-15 08:40:00+00:00,737.48,737.61,737.35,737.48,9989.0,307.0,737.50811,737.0777413632002,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.12999999999999545,0.12999999999999545,0.0,8,40,-6.779385245336833e-05
QQQ,2026-06-15 08:45:00+00:00,737.54,737.91,737.35,737.41,15059.0,362.0,737.606702,737.1441930905602,,,,,,,,,,,,0.0,0.0,,,,,,,,0.12999999999999545,0.37000000000000455,0.05999999999994543,0.00017629270012611093,8,45,-9.491782828019435e-05
QQQ,2026-06-15 08:50:00+00:00,737.53,737.64,736.98,737.03,20746.0,437.0,737.305583,737.1213544724483,,,,,,,,,,,0.048868557155851824,0.0,0.0,,,,,,,,0.5,0.11000000000001364,0.049999999999954525,0.0006783984369700013,8,50,-0.0005153171234455467
QQQ,2026-06-15 08:55:00+00:00,737.06,737.26,736.86,737.03,15815.0,351.0,737.008491,737.1030835779586,,,,,,,,,,,0.16716499048654773,0.0,0.0,,,,,,,,0.029999999999972715,0.20000000000004547,0.16999999999995907,4.070390621816306e-05,8,55,0.0
QQQ,2026-06-15 09:00:00+00:00,737.1,737.28,737.05,737.06,11578.0,305.0,737.130725,737.094466862367,,,,,,,,,,,0.03800320312711702,0.0,0.0,,,,,,,,0.04000000000007731,0.17999999999994998,0.009999999999990905,5.4269665970310845e-05,9,0,4.070390621824238e-05
QQQ,2026-06-15 09:05:00+00:00,737.18,737.22,736.92,737.09,7179.0,214.0,737.059879,737.0935734898936,,,,,,,54.721502415781195,,,,0.09233986502085301,0.845714285714288,0.0011473690942955242,,,,,,736.1872267255832,0.001226282176114652,0.08999999999991815,0.04000000000007731,0.17000000000007276,0.00012210177861579744,9,5,4.070224947771983e-05
QQQ,2026-06-15 09:10:00+00:00,737.13,737.25,736.56,736.7,13489.0,368.0,736.845676,737.014858791915,,,,,,,45.3871244119381,,,,0.010860416496978215,0.8345918367346998,0.0011328788336292925,,,,,,736.3031861101832,0.0005389273023700396,0.42999999999995,0.12000000000000455,0.14000000000010004,0.0005836839961991991,9,10,-0.0005291077073356076
QQQ,2026-06-15 09:15:00+00:00,736.61,736.61,736.23,736.25,30648.0,481.0,736.425034,736.8618870335321,,,,,,,37.44926715599565,,,,-0.13834823063463614,0.8085495626822231,0.0010981997455785713,,,,,,736.9622963732478,-0.0009665302780795727,0.36000000000001364,0.0,0.01999999999998181,0.0004889643463497639,9,15,-0.0006108320890457763
QQQ,2026-06-15 09:20:00+00:00,736.2,736.32,735.65,736.19,31159.0,640.0,736.104259,736.7275096268257,,,,,,,36.53185237962205,,,,-0.1695053156866999,0.7986531653477839,0.0010848465278634372,,,,,,736.8597289401116,-0.0009088961084559235,0.009999999999990905,0.12000000000000455,0.5400000000000773,1.3583449924599498e-05,9,20,-8.14940577248402e-05
QQQ,2026-06-15 09:25:00+00:00,736.2232,736.2232,735.61,735.61,13388.0,306.0,735.979133,736.5040077014605,,,,,,,29.108451192634078,,,,-0.260328393421279,0.7854065106800855,0.001067694173108149,,,,,,736.8225766259,-0.0016456833223713668,0.6132000000000062,0.0,0.0,0.0008335938880656954,9,25,-0.00078784009562749
QQQ,2026-06-15 09:30:00+00:00,735.71,735.74,735.32,735.35,19152.0,461.0,735.565596,736.2732061611684,,,,,,,26.508057087050716,,,,-0.28882139176655575,0.759306045631505,0.0010325777461501395,,,,,,736.7304295696746,-0.0018737241116548863,0.36000000000001364,0.029999999999972715,0.029999999999972715,0.0004895627932277332,9,30,-0.0003534481586709992
QQQ,2026-06-15 09:35:00+00:00,735.35,735.82,735.34,735.5815,13918.0,400.0,735.549568,736.1348649289348,,,,,,,32.306721234277504,,,,-0.24796246321584503,0.7393556138006846,0.0010051307894511819,737.9902955203286,735.3398544796714,0.0036031915439106916,29329.6,0.4745376684305275,736.5950225248147,-0.001375956249800115,0.23149999999998272,0.23850000000004457,0.009999999999990905,0.00031471699600925623,9,35,0.000314816073978319
QQQ,2026-06-15 09:40:00+00:00,735.63,735.77,735.39,735.44,13682.0,266.0,735.577206,735.9958919431479,736.391687921647,,,-0.39579597849910897,,,30.711645037808665,,,,-0.2157307029564493,0.7136873556720639,0.0009704222719352549,738.0322937713122,735.1748562286878,0.0038853442056788296,26009.3,0.5260426078364278,736.5034562184384,-0.0014439256319292951,0.18999999999994088,0.13999999999998636,0.05000000000006821,0.0002583487436091875,9,40,-0.00019236481613515988
QQQ,2026-06-15 09:45:00+00:00,735.36,735.57,735.12,735.57,8899.0,226.0,735.365321,735.9107135545183,736.316989019679,,,-0.40627546516066104,,,33.93870636987597,,,,-0.1980923435952299,0.694852544552634,0.0009446450297764101,738.049887480225,735.134262519775,0.003963762742431083,16416.8,0.5420666634179621,736.4225505577042,-0.001157692084603464,0.21000000000003638,0.0,0.2400000000000091,0.0002854928830703215,9,45,0.0001767649298378693
QQQ,2026-06-15 09:50:00+00:00,735.75,735.96,735.6,735.78,4517.0,140.0,735.746294,735.8845708436147,736.2681718360718,,,-0.38360099245710444,,,38.89001261502073,,,,-0.17366293110465536,0.6730773627988735,0.0009147807263025274,738.0387537322268,735.0453962677733,0.004068277833664327,15977.05,0.2827180236651948,736.3611295625427,-0.0007891909814522384,0.029999999999972715,0.18000000000006366,0.14999999999997726,4.077305716378906e-05,9,50,0.00028549288307022636
QQQ,2026-06-15 09:55:00+00:00,735.78,736.19,735.7,736.06,4726.0,136.0,735.982855,735.9196566748918,736.2492471237016,,,-0.3295904488097676,,,44.8276987089057,,,,-0.13973870219377368,0.6600004083132404,0.000896666587388583,738.0351420218498,735.0140079781503,0.0041044670865139745,15219.35,0.3105257451862267,736.2663979342193,-0.0002803305091722979,0.2799999999999727,0.13000000000010914,0.07999999999992724,0.00038040377143163973,9,55,0.00038054853352909035
QQQ,2026-06-15 10:00:00+00:00,735.96,736.26,735.91,736.13,8136.0,202.0,736.153106,735.9617253399135,736.2384064760923,,,-0.27668113617880863,,,46.23418645803297,,,,-0.07737206461246776,0.6378575220051533,0.0008665011913726561,738.0195250411332,734.9806249588667,0.004128211161434171,14789.4,0.5501237372712889,736.1590643051467,-3.9481012400641187e-05,0.16999999999995907,0.12999999999999545,0.05000000000006821,0.0002309374702837258,10,0,9.51009428580285e-05
QQQ,2026-06-15 10:05:00+00:00,736.09,736.1,735.8,736.1,6468.0,143.0,735.909893,735.9893802719308,736.2258240691748,,,-0.23644379724396458,,,45.69652864331574,-0.24474484730944823,,,-0.0203735144312363,0.6158676990047881,0.000836663087902171,737.9276754432742,734.9554745567259,0.004037767812183545,13267.55,0.48750522892319986,736.0781877842505,2.9633014687136848e-05,0.009999999999990905,0.0,0.2900000000000773,1.358511071864e-05,10,5,-4.075367122646778e-05
QQQ,2026-06-15 10:10:00+00:00,736.15,736.34,736.08,736.34,10118.0,187.0,736.213964,736.0595042175447,736.2362036992497,,,-0.17669948170498628,,,50.64166130245205,-0.20346681032151537,,,0.02037517488691469,0.5904485776473026,0.0008018694864428153,737.8004659178221,734.9726840821779,0.0038403208241357873,13381.15,0.7561382990251212,736.0220856963142,0.0004319358207642124,0.19000000000005457,0.0,0.06999999999993634,0.0002580329738980017,10,10,0.00032604265724756054
QQQ,2026-06-15 10:15:00+00:00,736.31,736.34,735.95,736.14,10378.0,177.0,736.044787,736.0756033740358,736.2274579084087,,,-0.15185453437288743,,,46.81566140141297,-0.184762173817262,,,0.07204904772909186,0.5761308221010657,0.0007826375717948566,737.6325377427257,735.0016122572741,0.0035739471913652275,13452.2,0.771472324229494,735.9886290728118,0.00020567019816442408,0.16999999999995907,0.030000000000086402,0.18999999999994088,0.00023093433314309652,10,15,-0.00027161365673467053
QQQ,2026-06-15 10:20:00+00:00,736.1024,736.15,735.8,736.15,7498.0,182.0,735.992789,736.0904826992287,736.2204162803715,,,-0.12993358114283637,,,47.031144042971384,-0.16720427144139194,,,0.10879173182837486,0.5599786205224198,0.0007606854860047813,737.4538443495221,735.0473056504779,0.003269087412951405,13327.65,0.5625898039039141,735.9278475910529,0.0003018671051438664,0.04759999999998854,0.0,0.3024000000000342,6.466073490455551e-05,10,20,1.3584372537733813e-05
