symbol,timestamp,open,high,low,close,volume,trade_count,vwap,EMA9,EMA21,EMA50,EMA200,EMA9_EMA21,EMA21_EMA50,DistEMA200,RSI,MACD,MACDSignal,MACDHist,ROC,ATR,ATRPercent,BBUpper,BBLower,BBWidth,VolumeSMA20,RelativeVolume,VWAP,VWAPDistance,Body,UpperWick,LowerWick,BodyPercent,Hour,Minute,Return
TSLA,2026-06-15 08:00:00+00:00,411.3,412.09,409.9038,410.5,88622.0,3658.0,410.924174,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.8000000000000114,0.7899999999999636,0.5962000000000103,0.0019488428745432676,8,0,
TSLA,2026-06-15 08:05:00+00:00,410.72,412.28,409.93,411.43,173871.0,7806.0,411.368383,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.7099999999999795,0.8499999999999659,0.7900000000000205,0.0017256884524706013,8,5,0.0022655298416565106
TSLA,2026-06-15 08:10:00+00:00,411.34,412.28,411.09,412.0,15744.0,672.0,411.911372,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.660000000000025,0.2799999999999727,0.25,0.0016019417475728762,8,10,0.0013854118562088846
TSLA,2026-06-15 08:15:00+00:00,412.0,412.0,411.59,411.7405,7326.0,353.0,411.830886,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.25950000000000273,0.0,0.15050000000002228,0.0006302513354892286,8,15,-0.0006298543689320368
TSLA,2026-06-15 08:20:00+00:00,411.52,411.7,411.35,411.5,10000.0,343.0,411.494462,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.01999999999998181,0.18000000000000682,0.14999999999997726,4.860267314697888e-05,8,20,-0.000584105765646048
TSLA,2026-06-15 08:25:00+00:00,411.52,412.2,411.2,412.13,16556.0,481.0,411.667465,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.6100000000000136,0.06999999999999318,0.3199999999999932,0.001480115497537218,8,25,0.001530984204131114
TSLA,2026-06-15 08:30:00+00:00,412.15,412.5,412.01,412.4656,15343.0,528.0,412.382396,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.31560000000001764,0.03440000000000509,0.13999999999998636,0.0007651547183571615,8,30,0.0008143061655303541
TSLA,2026-06-15 08:35:00+00:00,412.36,412.5,412.3,412.46,9511.0,302.0,412.394195,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0999999999999659,0.040000000000020464,0.060000000000002274,0.00024244775250925157,8,35,-1.3576889806077297e-05
TSLA,2026-06-15 08:40:00+00:00,412.3,412.38,412.01,412.11,7349.0,317.0,412.215517,411.83497643520013,,,,,,,,,,,,0.0,0.0,,,,,,,,0.18999999999999773,0.07999999999998408,0.10000000000002274,0.0004610419548178829,8,40,-0.0008485671337825629
TSLA,2026-06-15 08:45:00+00:00,412.2,412.46,412.0,412.0,6254.0,310.0,412.248215,411.8679811481601,,,,,,,,,,,,0.0,0.0,,,,,,,,0.19999999999998863,0.2599999999999909,0.0,0.0004854368932038559,8,45,-0.0002669190264735777
TSLA,2026-06-15 08:50:00+00:00,412.13,412.25,412.0,412.14,13988.0,360.0,412.055631,411.9223849185281,,,,,,,,,,,0.3995127892813609,0.0,0.0,,,,,,,,0.009999999999990905,0.11000000000001364,0.12999999999999545,2.4263599747636497e-05,8,50,0.0003398058252426228
TSLA,2026-06-15 08:55:00+00:00,412.05,412.13,411.8,411.8,11147.0,342.0,411.971941,411.8979079348225,,,,,,,,,,,0.08993024329776743,0.0,0.0,,,,,,,,0.25,0.07999999999998408,0.0,0.0006070908207867897,8,55,-0.0008249623914203807
TSLA,2026-06-15 09:00:00+00:00,411.8,412.35,411.8,412.3,6878.0,201.0,412.03707,411.978326347858,,,,,,,,,,,0.07281553398058528,0.0,0.0,,,,,,,,0.5,0.05000000000001137,0.0,0.001212709192335678,9,0,0.0012141816415736084
TSLA,2026-06-15 09:05:00+00:00,412.24,412.3,411.8,411.81,14256.0,268.0,412.004905,411.94466107828646,,,,,,,56.44290163137688,,,,0.01687956370578192,0.7690499999999929,0.0018674874335251521,,,,,,411.3948894466774,0.001009031866878415,0.4300000000000068,0.060000000000002274,0.009999999999990905,0.0010441708554916268,9,5,-0.0011884550084889645
TSLA,2026-06-15 09:10:00+00:00,412.07,412.19,411.95,412.0,4271.0,199.0,412.036734,411.95572886262914,,,,,,,59.126806527855635,,,,0.12150668286755771,0.7412607142857074,0.0017991764909847266,,,,,,411.56363866591573,0.001060252396199853,0.06999999999999318,0.12000000000000455,0.05000000000001137,0.00016990291262134266,9,10,0.00046137781986832493
TSLA,2026-06-15 09:15:00+00:00,412.0,412.12,411.8,411.8,9450.0,267.0,411.998658,411.92458309010334,,,,,,,55.266421646971246,,,,-0.08007182199790941,0.7111706632652993,0.0017269807267248647,,,,,,411.9968679047948,-0.00047783835298540275,0.19999999999998863,0.12000000000000455,0.0,0.00048567265662940415,9,15,-0.0004854368932039055
TSLA,2026-06-15 09:20:00+00:00,411.8,411.84,411.42,411.43,16104.0,427.0,411.601501,411.8256664720827,,,,,,,48.90497828216332,,,,-0.2510754836282076,0.6903727587463465,0.0016779835178434887,,,,,,411.9717743444294,-0.0013150763672863171,0.37000000000000455,0.03999999999996362,0.009999999999990905,0.0008993024329776743,9,20,-0.0008984944147644169
TSLA,2026-06-15 09:25:00+00:00,411.41,411.5,411.2,411.2,9544.0,317.0,411.27787,411.70053317766616,,,,,,,45.406171202682025,,,,-0.30548416816175894,0.6624889902644655,0.0016111113576470465,,,,,,411.9386960608737,-0.0017932184277356055,0.21000000000003638,0.08999999999997499,0.0,0.0005107003891051469,9,25,-0.000559025836715854
TSLA,2026-06-15 09:30:00+00:00,411.2,411.22,411.0,411.02,11115.0,380.0,411.035463,411.56442654213294,,,,,,,42.824008547837984,,,,-0.2644924898692174,0.6308826338170056,0.001534919550914811,,,,,,411.9036149967714,-0.0021451984508034814,0.18000000000000682,0.020000000000038654,0.01999999999998181,0.0004379348936791563,9,30,-0.00043774319066147704
TSLA,2026-06-15 09:35:00+00:00,411.018,411.48,411.018,411.37,6038.0,252.0,411.30883,411.52554123370635,,,,,,,48.908165797990016,,,,-0.1529126213592222,0.6188195885443656,0.0015042895411536221,412.734825369156,410.7857846308439,0.004737926290959667,22668.35,0.2663625716031383,411.884421737653,-0.0012489468173686802,0.3520000000000323,0.11000000000001364,0.0,0.0008556773707368848,9,35,0.0008515400710429333
TSLA,2026-06-15 09:40:00+00:00,411.33,411.33,410.95,410.95,7677.0,256.0,411.152337,411.4104329869651,411.4618598756235,,,-0.05142688865839773,,,42.99559183116412,,,,-0.2887368369971363,0.6046181893626263,0.0014712694716209427,412.6553358303436,410.9102741696564,0.0042464087131942,18621.1,0.4122742480304601,411.7873727598031,-0.0020335076187281017,0.37999999999999545,0.0,0.0,0.0009246867015451891,9,40,-0.0010209786809928234
TSLA,2026-06-15 09:45:00+00:00,410.92,411.04,410.9,411.0,6785.0,275.0,410.951052,411.32834638957206,411.41987261420314,,,-0.09152622463108173,,,43.86561255226501,,,,-0.19426906265177546,0.5714311758367275,0.0013903434935200183,412.68711465100824,410.83549534899174,0.004505156452594895,10266.8,0.6608680406747964,411.6995285504678,-0.0016991240017464302,0.07999999999998408,0.040000000000020464,0.020000000000038654,0.00019464720194643328,9,45,0.00012166930283497024
TSLA,2026-06-15 09:50:00+00:00,411.15,411.43,411.0078,411.32,4257.0,182.0,411.14421,411.32667711165766,411.4107932856392,,,-0.08411617398155613,,,49.20850919244799,,,,-0.23769100169779728,0.5613289489912475,0.0013647013249811523,412.6654171840697,410.7891928159303,0.004561471283038624,9692.45,0.43920783702778965,411.65776739039705,-0.0008205053254266398,0.17000000000001592,0.11000000000001364,0.14220000000000255,0.0004133035106486821,9,50,0.0007785888077858072
TSLA,2026-06-15 09:55:00+00:00,411.23,411.3609,411.11,411.23,3111.0,119.0,411.210653,411.3073416893261,411.3943575323993,,,-0.08701584307317489,,,47.82964295337968,,,,-0.1408416502756087,0.53915545263473,0.0013110800589323005,412.66452399421655,410.7390360057834,0.004682265370797687,9481.7,0.3281057194384973,411.62230987955496,-0.0009530821584226996,0.0,0.1308999999999969,0.12000000000000455,0.0,9,55,-0.00021880774093152588
TSLA,2026-06-15 10:00:00+00:00,411.12,411.22,411.07,411.07,5057.0,239.0,411.11486,411.2598733514609,411.36487048399937,,,-0.10499713253847176,,,45.39437833098249,,,,-0.22572815533980747,0.5120729203036796,0.0012457073498520436,412.6786352265601,410.68192477343973,0.0048573489992468095,9234.55,0.5476173717181672,411.5389686187226,-0.0011395485105496707,0.05000000000001137,0.10000000000002274,0.0,0.0001216337850001493,10,0,-0.00038907667242182864
TSLA,2026-06-15 10:05:00+00:00,411.01,411.17,410.94,411.17,4712.0,273.0,411.002732,411.2418986811688,411.347154985454,,,-0.10525630428520572,,,47.203705740118714,-0.03726119988402843,,,-0.15298688683826991,0.49192485456770374,0.0011964025939823035,412.6318422433846,410.63271775661536,0.004862038783883146,8642.35,0.545222075014319,411.48189369975455,-0.0007579767288183859,0.160000000000025,0.0,0.06999999999999318,0.00038913344845203934,10,5,0.0002432675700003717
TSLA,2026-06-15 10:10:00+00:00,411.21,411.4,411.08,411.2,4310.0,182.0,411.241279,411.23351894493504,411.3337772595036,,,-0.10025831456857759,,,47.7629026733384,-0.04203602002581874,,,-0.055902583671588894,0.47964450781286727,0.0011664506512958834,412.50793343747057,410.6300665625296,0.004566796874856498,8090.7,0.5327103958866353,411.42851077919534,-0.0005554082257512367,0.009999999999990905,0.18999999999999773,0.12000000000000455,2.4319066147837806e-05,10,10,7.29625215847296e-05
TSLA,2026-06-15 10:15:00+00:00,411.24,411.34,410.91,410.9101,4332.0,250.0,411.095282,411.1688351559481,411.2952611450033,,,-0.12642598905517843,,,43.02099164623709,-0.06842385893997971,,,-0.07050097276264317,0.47609847154051604,0.0011586438774333267,412.3778614417886,410.60514855821134,0.004314113679798189,7831.75,0.5531330800906566,411.33193879788774,-0.001025543504160078,0.3299000000000092,0.0999999999999659,9.999999997489795e-05,0.0008028520106953058,10,15,-0.0007050097276264378
