symbol,timestamp,open,high,low,close,volume,trade_count,vwap,EMA9,EMA21,EMA50,EMA200,EMA9_EMA21,EMA21_EMA50,DistEMA200,RSI,MACD,MACDSignal,MACDHist,ROC,ATR,ATRPercent,BBUpper,BBLower,BBWidth,VolumeSMA20,RelativeVolume,VWAP,VWAPDistance,Body,UpperWick,LowerWick,BodyPercent,Hour,Minute,Return
AMD,2026-06-15 08:00:00+00:00,537.02,537.7056,531.6,534.55,40731.0,2350.0,535.79885,,,,,,,,,,,,,0.0,0.0,,,,,,,,2.4700000000000273,0.6856000000000222,2.949999999999932,0.004620709007576517,8,0,
AMD,2026-06-15 08:05:00+00:00,533.0,537.5,531.0,535.22,91594.0,4771.0,534.228911,,,,,,,,,,,,,0.0,0.0,,,,,,,,2.2200000000000273,2.2799999999999727,2.0,0.004147827061769043,8,5,0.001253390702460111
AMD,2026-06-15 08:10:00+00:00,536.9,536.9,534.8,534.81,6541.0,389.0,535.063334,,,,,,,,,,,,,0.0,0.0,,,,,,,,2.090000000000032,0.0,0.009999999999990905,0.003907929919036727,8,10,-0.0007660401330296107
AMD,2026-06-15 08:15:00+00:00,535.7,535.8,535.0,535.0,8619.0,361.0,535.409276,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.7000000000000455,0.09999999999990905,0.0,0.001308411214953356,8,15,0.00035526635627625147
AMD,2026-06-15 08:20:00+00:00,535.584,535.584,535.51,535.51,2582.0,152.0,535.51807,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.07399999999995543,0.0,0.0,0.00013818602827203122,8,20,0.000953271028037328
AMD,2026-06-15 08:25:00+00:00,535.8,536.72,535.8,536.43,4883.0,276.0,536.316108,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.6299999999999955,0.2900000000000773,0.0,0.0011744309602371148,8,25,0.0017179884595992512
AMD,2026-06-15 08:30:00+00:00,536.13,536.73,535.5,536.73,5904.0,236.0,536.45549,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.6000000000000227,0.0,0.6299999999999955,0.0011178804985747448,8,30,0.0005592528382083461
AMD,2026-06-15 08:35:00+00:00,536.5,536.7999,536.0,536.7999,3367.0,137.0,536.585894,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.2998999999999796,0.0,0.5,0.0005586811771015227,8,35,0.00013023307808390783
AMD,2026-06-15 08:40:00+00:00,536.6,536.92,536.0027,536.51,5435.0,196.0,536.687153,535.9234037248001,,,,,,,,,,,,0.0,0.0,,,,,,,,0.09000000000003183,0.31999999999993634,0.5072999999999865,0.0001677508340944844,8,40,-0.0005400522615596204
AMD,2026-06-15 08:45:00+00:00,537.0,537.18,536.31,536.5,4901.0,239.0,536.649761,536.03872297984,,,,,,,,,,,,0.0,0.0,,,,,,,,0.5,0.17999999999994998,0.19000000000005457,0.0009319664492078285,8,45,-1.8638981566065915e-05
AMD,2026-06-15 08:50:00+00:00,536.5,537.0,536.1,537.0,2050.0,83.0,536.479277,536.2309783838721,,,,,,,,,,,0.45832943597419246,0.0,0.0,,,,,,,,0.5,0.0,0.39999999999997726,0.000931098696461825,8,50,0.0009319664492077884
AMD,2026-06-15 08:55:00+00:00,536.2,536.55,536.0,536.55,2917.0,153.0,536.200897,536.2947827070977,,,,,,,,,,,0.24849594559245305,0.0,0.0,,,,,,,,0.34999999999990905,0.0,0.20000000000004547,0.000652315720808702,8,55,-0.0008379888268157387
AMD,2026-06-15 09:00:00+00:00,536.29,536.55,535.97,536.367,3884.0,147.0,536.218139,536.3092261656782,,,,,,,,,,,0.29113142985359597,0.0,0.0,,,,,,,,0.07699999999999818,0.18299999999999272,0.31999999999993634,0.000143558421752267,9,0,-0.00034106793402288726
AMD,2026-06-15 09:05:00+00:00,536.3,536.3,535.75,535.77,3871.0,167.0,535.984953,536.2013809325426,,,,,,,53.26787213446884,,,,0.1439252336448564,1.7431285714285585,0.0032535016358298495,,,,,,535.0216997469017,0.0013986353328327478,0.5299999999999727,0.0,0.01999999999998181,0.0009892304533661324,9,5,-0.0011130438673520038
AMD,2026-06-15 09:10:00+00:00,536.15,536.15,535.5,536.0,4877.0,222.0,535.923489,536.1611047460342,,,,,,,56.52707678716388,,,,0.09150155926126667,1.6650479591836598,0.003106432759671007,,,,,,535.1578962678994,0.0015735612572910593,0.14999999999997726,0.0,0.5,0.0002798507462686143,9,10,0.0004292886873098478
AMD,2026-06-15 09:15:00+00:00,536.2,536.2,535.0,535.0,7626.0,275.0,535.450882,535.9288837968274,,,,,,,42.612018506377076,,,,-0.26657718621254406,1.6318302478134015,0.0030501499959129,,,,,,535.9789932702809,-0.0018265515674551276,1.2000000000000455,0.0,0.0,0.0022429906542056925,9,15,-0.001865671641791078
AMD,2026-06-15 09:20:00+00:00,534.64,534.64,534.0,534.25,4363.0,160.0,534.409072,535.593107037462,,,,,,,35.544772783992215,,,,-0.46205727274421365,1.5866995158267299,0.0029699569786181186,,,,,,535.914214408411,-0.0031053746358418654,0.38999999999998636,0.0,0.25,0.0007299953205427915,9,20,-0.0014018691588785215
AMD,2026-06-15 09:25:00+00:00,534.6,535.0,534.4083,534.4083,4447.0,175.0,534.649595,535.3561456299697,,,,,,,37.88635512512371,,,,-0.4455291441000503,1.526935264696249,0.002857244666103144,,,,,,535.9103115698692,-0.0028027293699000935,0.1916999999999689,0.39999999999997726,0.0,0.0003587144885286566,9,25,0.00029630322882545634
AMD,2026-06-15 09:30:00+00:00,534.25,534.25,534.0,534.0,2907.0,154.0,534.156734,535.0849165039758,,,,,,,34.413669840130396,,,,-0.46783843730778385,1.4470327457893781,0.002709799149418311,,,,,,535.8396462717585,-0.003433202982568238,0.25,0.0,0.0,0.00046816479400749064,9,30,-0.0007640225647693732
AMD,2026-06-15 09:35:00+00:00,534.12,534.12,533.75,534.0,5427.0,225.0,533.957335,534.8679332031807,,,,,,,34.413669840130396,,,,-0.4659832246039142,1.3701018353758516,0.002565733774112082,537.5515428444218,533.5889771555782,0.007420534997834451,10846.3,0.5003549597558615,535.6371772368874,-0.003056504115963088,0.12000000000000455,0.0,0.25,0.00022471910112360403,9,35,0.0
AMD,2026-06-15 09:40:00+00:00,533.872,533.9897,533.3,533.9897,1087.0,62.0,533.720567,534.6922865625446,535.0932951270825,,,-0.4010085645378467,,,34.32162960643279,,,,-0.5605772811918118,1.322237418563294,0.0024761477956658975,537.5949968695401,533.4894931304599,0.007688357545248864,8864.1,0.12262948297063435,535.5309455909538,-0.0028779767138444223,0.11770000000001346,0.0,0.5720000000000027,0.0002204162364929763,9,40,-1.928838951315015e-05
AMD,2026-06-15 09:45:00+00:00,533.48,534.0,533.48,534.0,4554.0,194.0,533.902129,534.5538292500357,534.9939046609841,,,-0.4400754109483387,,,34.51025696995961,,,,-0.47525859658931224,1.2649347458087716,0.0023687916588179246,537.6385214769264,533.3239685230735,0.008079687179499726,4512.1,1.0092861417078522,535.3400824420983,-0.0025032357674118415,0.5199999999999818,0.0,0.0,0.0009737827715355465,9,45,1.928876156220838e-05
AMD,2026-06-15 09:50:00+00:00,534.0,534.0,533.65,533.65,3889.0,171.0,533.804403,534.3730634000286,534.8717315099855,,,-0.49866810995683863,,,31.2282091232545,,,,-0.5065561453258655,1.1995822639652896,0.0022478820649588487,537.708187773441,533.138302226559,0.008563450851460706,4379.5,0.8880009133462724,535.123511302817,-0.0027535910340204424,0.35000000000002274,0.0,0.0,0.0006558605827790176,9,50,-0.0006554307116105607
AMD,2026-06-15 09:55:00+00:00,533.0,534.0,532.29,533.0,3771.0,262.0,532.84192,534.0984507200229,534.7015740999868,,,-0.603123379963904,,,26.237626442650082,,,,-0.5170128973253415,1.236040673682057,0.002319025654187724,537.8371184013271,532.8093715986728,0.009432920830495857,4137.1,0.9115080612022913,534.850655206275,-0.0034601345034553834,0.0,1.0,0.7100000000000364,0.0,9,55,-0.0012180267965894442
