Date,Close,High,Low,Open,Volume,EMA9,EMA21,EMA50,EMA200,RSI,MACD,MACDSignal,ATR,Return,Volatility,Target
2020-01-02,296.125244140625,296.1434923281095,293.99229250686125,294.91293581934144,59151200,,,,,,,,0.0,,,0
2020-01-03,293.8829040527344,295.0040826655969,292.6888161446402,292.74350507040344,77709700,,,,,,,,0.0,-0.007572269275448,,1
2020-01-06,295.004150390625,295.0861837981025,292.01434006994486,292.1328420420894,55653900,,,,,,,,0.0,0.0038152826259312,,1
2020-01-07,294.1746520996094,294.9129805533922,293.7279886988713,294.43897268463854,40496400,,,,,,,,0.0,-0.0028118190537904,,1
2020-01-08,295.7425231933594,296.9548319309042,294.1200195395933,294.3661197989049,68296000,,,,,,,,0.0,0.0053297287259783,,1
2020-01-09,297.74774169921875,297.82067881308217,296.71772055042567,297.3011061918994,48473300,,,,,,,,0.0,0.0067802847024076,,0
2020-01-10,296.8909912109375,298.48615024274386,296.4261352089056,298.33120751452185,53029300,,,,,,,,0.0,-0.0028774374018484,,0
2020-01-13,298.9327392578125,298.9418355342063,297.0823563543286,297.5107715003253,47086800,,,,,,,,0.0,0.0068770966695461,,0
2020-01-14,298.4769592285156,299.54342106499274,297.92091807745555,298.49517959741576,62832800,296.9969310919532,,,,,,,0.0,-0.0015246909068189,,0
2020-01-15,299.1514892578125,299.9080379561586,298.3037830757557,298.3858164658878,72056600,297.42784272512506,,,,,,,0.0,0.0022599065302741,,0
2020-01-16,301.6400451660156,301.6400451660156,300.3001103883815,300.5279902633712,54050300,298.2702832133032,,,,,,,0.0,0.0083187147567849,,0
2020-01-17,302.578857421875,302.7884890679203,301.5761805798231,302.35097758583424,95846000,299.1319980550176,,,,,,,0.0,0.003112359485766,,0
2020-01-21,301.98638916015625,302.78853074420584,301.5488776178504,301.62178693577914,77742400,299.70287627604534,,,,,,,0.0,-0.0019580623271793,,0
2020-01-22,302.02276611328125,303.4903264792452,301.8678234281699,302.8431278236257,48914900,300.16685424349254,,,,72.39265604517385,,,2.0535170747826004,0.0001204589161325,,0
2020-01-23,302.3691711425781,302.77936593801815,300.2635638696882,301.37561848363805,51963000,300.60731762330965,,,,73.41007241567371,,,2.0865374314645537,0.0011469500586156,,0
